start_time	end_time	consumption	provided_cost	start_minus_prev_end	end_minus_prev_end
2024-01-01 00:00:00-08:00	2024-01-02 00:00:00-08:00	48.456	8.37125856	None	None
2024-01-02 00:00:00-08:00	2024-01-03 00:00:00-08:00	68.818	11.88899768	0:00:00	1 day, 0:00:00
2024-01-03 00:00:00-08:00	2024-01-04 00:00:00-08:00	48.228	8.33186928	0:00:00	1 day, 0:00:00
2024-01-04 00:00:00-08:00	2024-01-05 00:00:00-08:00	55.814	9.64242664	0:00:00	1 day, 0:00:00
2024-01-05 00:00:00-08:00	2024-01-06 00:00:00-08:00	55.78	9.6365528	0:00:00	1 day, 0:00:00
2024-01-06 00:00:00-08:00	2024-01-07 00:00:00-08:00	60.66	10.4796216	0:00:00	1 day, 0:00:00
2024-01-07 00:00:00-08:00	2024-01-08 00:00:00-08:00	45.808	7.91379008	0:00:00	1 day, 0:00:00
2024-01-08 00:00:00-08:00	2024-01-09 00:00:00-08:00	74.003	12.78475828	0:00:00	1 day, 0:00:00
2024-01-09 00:00:00-08:00	2024-01-10 00:00:00-08:00	66.568	11.50028768	0:00:00	1 day, 0:00:00
2024-01-10 00:00:00-08:00	2024-01-11 00:00:00-08:00	58.579	10.12010804	0:00:00	1 day, 0:00:00
2024-01-11 00:00:00-08:00	2024-01-12 00:00:00-08:00	63.47	10.9650772	0:00:00	1 day, 0:00:00
2024-01-12 00:00:00-08:00	2024-01-13 00:00:00-08:00	105.518	18.22928968	0:00:00	1 day, 0:00:00
2024-01-13 00:00:00-08:00	2024-01-14 00:00:00-08:00	231.621	40.01484396	0:00:00	1 day, 0:00:00
2024-01-14 00:00:00-08:00	2024-01-15 00:00:00-08:00	178.084	30.76579184	0:00:00	1 day, 0:00:00
2024-01-15 00:00:00-08:00	2024-01-16 00:00:00-08:00	198.37	34.2704012	0:00:00	1 day, 0:00:00
2024-01-16 00:00:00-08:00	2024-01-17 00:00:00-08:00	219.327	37.89093252	0:00:00	1 day, 0:00:00
2024-01-17 00:00:00-08:00	2024-01-18 00:00:00-08:00	78.53	13.5668428	0:00:00	1 day, 0:00:00
2024-01-18 00:00:00-08:00	2024-01-19 00:00:00-08:00	97.662	16.87208712	0:00:00	1 day, 0:00:00
2024-01-19 00:00:00-08:00	2024-01-20 00:00:00-08:00	72.394	12.50678744	0:00:00	1 day, 0:00:00
2024-01-20 00:00:00-08:00	2024-01-21 00:00:00-08:00	81.579	14.09358804	0:00:00	1 day, 0:00:00
2024-01-21 00:00:00-08:00	2024-01-22 00:00:00-08:00	48.846	8.43863496	0:00:00	1 day, 0:00:00
2024-01-22 00:00:00-08:00	2024-01-23 00:00:00-08:00	31.087	5.37059012	0:00:00	1 day, 0:00:00
2024-01-23 00:00:00-08:00	2024-01-24 00:00:00-08:00	28.096	4.85386496	0:00:00	1 day, 0:00:00
2024-01-24 00:00:00-08:00	2024-01-25 00:00:00-08:00	27.604	4.76886704	0:00:00	1 day, 0:00:00
2024-01-25 00:00:00-08:00	2024-01-26 00:00:00-08:00	38.561	6.66179836	0:00:00	1 day, 0:00:00
2024-01-26 00:00:00-08:00	2024-01-27 00:00:00-08:00	52.482	9.06679032	0:00:00	1 day, 0:00:00
2024-01-27 00:00:00-08:00	2024-01-28 00:00:00-08:00	29.773	5.14358348	0:00:00	1 day, 0:00:00
2024-01-28 00:00:00-08:00	2024-01-29 00:00:00-08:00	27.664	4.77923264	0:00:00	1 day, 0:00:00
2024-01-29 00:00:00-08:00	2024-01-30 00:00:00-08:00	20.107	3.47368532	0:00:00	1 day, 0:00:00
2024-01-30 00:00:00-08:00	2024-01-31 00:00:00-08:00	24.345	4.2058422	0:00:00	1 day, 0:00:00
2024-01-31 00:00:00-08:00	2024-02-01 00:00:00-08:00	29.04	5.0169504	0:00:00	1 day, 0:00:00
2024-02-01 00:00:00-08:00	2024-02-02 00:00:00-08:00	23.81	4.1134156	0:00:00	1 day, 0:00:00
2024-02-02 00:00:00-08:00	2024-02-03 00:00:00-08:00	23.117	3.99369292	0:00:00	1 day, 0:00:00
2024-02-03 00:00:00-08:00	2024-02-04 00:00:00-08:00	40.782	7.04549832	0:00:00	1 day, 0:00:00
2024-02-04 00:00:00-08:00	2024-02-05 00:00:00-08:00	37.68	6.5095968	0:00:00	1 day, 0:00:00
2024-02-05 00:00:00-08:00	2024-02-06 00:00:00-08:00	36.093	6.23542668	0:00:00	1 day, 0:00:00
2024-02-06 00:00:00-08:00	2024-02-07 00:00:00-08:00	29.064	5.02109664	0:00:00	1 day, 0:00:00
2024-02-07 00:00:00-08:00	2024-02-08 00:00:00-08:00	33.353	5.76206428	0:00:00	1 day, 0:00:00
2024-02-08 00:00:00-08:00	2024-02-09 00:00:00-08:00	51.982	8.98041032	0:00:00	1 day, 0:00:00
2024-02-09 00:00:00-08:00	2024-02-10 00:00:00-08:00	51.089	8.82613564	0:00:00	1 day, 0:00:00
2024-02-10 00:00:00-08:00	2024-02-11 00:00:00-08:00	27.321	4.71997596	0:00:00	1 day, 0:00:00
2024-02-11 00:00:00-08:00	2024-02-12 00:00:00-08:00	33.627	5.80940052	0:00:00	1 day, 0:00:00
2024-02-12 00:00:00-08:00	2024-02-13 00:00:00-08:00	34.739	6.00150964	0:00:00	1 day, 0:00:00
2024-02-13 00:00:00-08:00	2024-02-14 00:00:00-08:00	54.533	9.42112108	0:00:00	1 day, 0:00:00
2024-02-14 00:00:00-08:00	2024-02-15 00:00:00-08:00	81.017	13.99649692	0:00:00	1 day, 0:00:00
2024-02-15 00:00:00-08:00	2024-02-16 00:00:00-08:00	50.474	8.71988824	0:00:00	1 day, 0:00:00
2024-02-16 00:00:00-08:00	2024-02-17 00:00:00-08:00	51.261	8.85585036	0:00:00	1 day, 0:00:00
2024-02-17 00:00:00-08:00	2024-02-18 00:00:00-08:00	63.567	10.98183492	0:00:00	1 day, 0:00:00
2024-02-18 00:00:00-08:00	2024-02-19 00:00:00-08:00	50.061	8.64853836	0:00:00	1 day, 0:00:00
2024-02-19 00:00:00-08:00	2024-02-20 00:00:00-08:00	33.081	5.71507356	0:00:00	1 day, 0:00:00
2024-02-20 00:00:00-08:00	2024-02-21 00:00:00-08:00	27.283	4.71341108	0:00:00	1 day, 0:00:00
2024-02-21 00:00:00-08:00	2024-02-22 00:00:00-08:00	29.609	5.11525084	0:00:00	1 day, 0:00:00
2024-02-22 00:00:00-08:00	2024-02-23 00:00:00-08:00	41.111	7.10233636	0:00:00	1 day, 0:00:00
2024-02-23 00:00:00-08:00	2024-02-24 00:00:00-08:00	35.295	6.0975642	0:00:00	1 day, 0:00:00
2024-02-24 00:00:00-08:00	2024-02-25 00:00:00-08:00	34.7	5.994772	0:00:00	1 day, 0:00:00
2024-02-25 00:00:00-08:00	2024-02-26 00:00:00-08:00	39.584	6.83853184	0:00:00	1 day, 0:00:00
2024-02-26 00:00:00-08:00	2024-02-27 00:00:00-08:00	84.642	14.62275192	0:00:00	1 day, 0:00:00
2024-02-27 00:00:00-08:00	2024-02-28 00:00:00-08:00	70.041	12.10028316	0:00:00	1 day, 0:00:00
2024-02-28 00:00:00-08:00	2024-02-29 00:00:00-08:00	36.376	6.28431776	0:00:00	1 day, 0:00:00
2024-02-29 00:00:00-08:00	2024-03-01 00:00:00-08:00	76.377	13.19489052	0:00:00	1 day, 0:00:00
2024-03-01 00:00:00-08:00	2024-03-02 00:00:00-08:00	75.816	13.09797216	0:00:00	1 day, 0:00:00
2024-03-02 00:00:00-08:00	2024-03-03 00:00:00-08:00	75.452	13.03508752	0:00:00	1 day, 0:00:00
2024-03-03 00:00:00-08:00	2024-03-04 00:00:00-08:00	86.155	14.8841378	0:00:00	1 day, 0:00:00
2024-03-04 00:00:00-08:00	2024-03-05 00:00:00-08:00	87.277	15.07797452	0:00:00	1 day, 0:00:00
2024-03-05 00:00:00-08:00	2024-03-06 00:00:00-08:00	60.199	10.39997924	0:00:00	1 day, 0:00:00
2024-03-06 00:00:00-08:00	2024-03-07 00:00:00-08:00	81.532	14.08546832	0:00:00	1 day, 0:00:00
2024-03-07 00:00:00-08:00	2024-03-08 00:00:00-08:00	77.617	13.40911292	0:00:00	1 day, 0:00:00
2024-03-08 00:00:00-08:00	2024-03-09 00:00:00-08:00	48.675	8.409093	0:00:00	1 day, 0:00:00
2024-03-09 00:00:00-08:00	2024-03-10 00:00:00-08:00	48.957	8.45781132	0:00:00	1 day, 0:00:00
2024-03-10 00:00:00-08:00	2024-03-11 00:00:00-07:00	45.135	7.7975226	0:00:00	23:00:00
2024-03-11 00:00:00-07:00	2024-03-12 00:00:00-07:00	44.912	7.75899712	0:00:00	1 day, 0:00:00
2024-03-12 00:00:00-07:00	2024-03-13 00:00:00-07:00	36.858	6.36758808	0:00:00	1 day, 0:00:00
2024-03-13 00:00:00-07:00	2024-03-14 00:00:00-07:00	35.349	6.10689324	0:00:00	1 day, 0:00:00
2024-03-14 00:00:00-07:00	2024-03-15 00:00:00-07:00	0.107	0.01848532	0:00:00	1 day, 0:00:00
2024-03-15 00:00:00-07:00	2024-03-16 00:00:00-07:00	22.26	3.8456376	0:00:00	1 day, 0:00:00
2024-03-16 00:00:00-07:00	2024-03-17 00:00:00-07:00	15.677	2.70835852	0:00:00	1 day, 0:00:00
2024-03-17 00:00:00-07:00	2024-03-18 00:00:00-07:00	15.082	2.60556632	0:00:00	1 day, 0:00:00
2024-03-18 00:00:00-07:00	2024-03-19 00:00:00-07:00	15.71	2.7140596	0:00:00	1 day, 0:00:00
2024-03-19 00:00:00-07:00	2024-03-20 00:00:00-07:00	9.766	1.68717416	0:00:00	1 day, 0:00:00
2024-03-20 00:00:00-07:00	2024-03-21 00:00:00-07:00	22.73	3.9268348	0:00:00	1 day, 0:00:00
2024-03-21 00:00:00-07:00	2024-03-22 00:00:00-07:00	29.832	5.15377632	0:00:00	1 day, 0:00:00
2024-03-22 00:00:00-07:00	2024-03-23 00:00:00-07:00	26.763	4.62357588	0:00:00	1 day, 0:00:00
