start_time	end_time	consumption	provided_cost	start_minus_prev_end	end_minus_prev_end
2024-01-01 00:00:00-08:00	2024-01-01 01:00:00-08:00	0.377	0.06513052	None	None
2024-01-01 01:00:00-08:00	2024-01-01 02:00:00-08:00	0.355	0.0613298	0:00:00	1:00:00
2024-01-01 02:00:00-08:00	2024-01-01 03:00:00-08:00	0.352	0.06081152	0:00:00	1:00:00
2024-01-01 03:00:00-08:00	2024-01-01 04:00:00-08:00	1.268	0.21905968	0:00:00	1:00:00
2024-01-01 04:00:00-08:00	2024-01-01 05:00:00-08:00	0.365	0.0630574	0:00:00	1:00:00
2024-01-01 05:00:00-08:00	2024-01-01 06:00:00-08:00	0.326	0.05631976	0:00:00	1:00:00
2024-01-01 06:00:00-08:00	2024-01-01 07:00:00-08:00	0.312	0.05390112	0:00:00	1:00:00
2024-01-01 07:00:00-08:00	2024-01-01 08:00:00-08:00	6.21	1.0728396	0:00:00	1:00:00
2024-01-01 08:00:00-08:00	2024-01-01 09:00:00-08:00	5.602	0.96780152	0:00:00	1:00:00
2024-01-01 09:00:00-08:00	2024-01-01 10:00:00-08:00	4.402	0.76048952	0:00:00	1:00:00
2024-01-01 10:00:00-08:00	2024-01-01 11:00:00-08:00	0.566	0.09778216	0:00:00	1:00:00
2024-01-01 11:00:00-08:00	2024-01-01 12:00:00-08:00	0	0	0:00:00	1:00:00
2024-01-01 12:00:00-08:00	2024-01-01 13:00:00-08:00	0.235	0.0405986	0:00:00	1:00:00
2024-01-01 13:00:00-08:00	2024-01-01 14:00:00-08:00	0.141	0.02435916	0:00:00	1:00:00
2024-01-01 14:00:00-08:00	2024-01-01 15:00:00-08:00	0.61	0.1053836	0:00:00	1:00:00
2024-01-01 15:00:00-08:00	2024-01-01 16:00:00-08:00	0.943	0.16291268	0:00:00	1:00:00
2024-01-01 16:00:00-08:00	2024-01-01 17:00:00-08:00	2.692	0.46506992	0:00:00	1:00:00
2024-01-01 17:00:00-08:00	2024-01-01 18:00:00-08:00	2.996	0.51758896	0:00:00	1:00:00
2024-01-01 18:00:00-08:00	2024-01-01 19:00:00-08:00	3.54	0.6115704	0:00:00	1:00:00
2024-01-01 19:00:00-08:00	2024-01-01 20:00:00-08:00	3.992	0.68965792	0:00:00	1:00:00
2024-01-01 20:00:00-08:00	2024-01-01 21:00:00-08:00	1.615	0.2790074	0:00:00	1:00:00
2024-01-01 21:00:00-08:00	2024-01-01 22:00:00-08:00	2.254	0.38940104	0:00:00	1:00:00
2024-01-01 22:00:00-08:00	2024-01-01 23:00:00-08:00	4.594	0.79365944	0:00:00	1:00:00
2024-01-01 23:00:00-08:00	2024-01-02 00:00:00-08:00	4.709	0.81352684	0:00:00	1:00:00
2024-01-02 00:00:00-08:00	2024-01-02 01:00:00-08:00	0.862	0.14891912	0:00:00	1:00:00
2024-01-02 01:00:00-08:00	2024-01-02 02:00:00-08:00	0.3	0.051828	0:00:00	1:00:00
2024-01-02 02:00:00-08:00	2024-01-02 03:00:00-08:00	0.332	0.05735632	0:00:00	1:00:00
2024-01-02 03:00:00-08:00	2024-01-02 04:00:00-08:00	0.308	0.05321008	0:00:00	1:00:00
2024-01-02 04:00:00-08:00	2024-01-02 05:00:00-08:00	1.241	0.21439516	0:00:00	1:00:00
2024-01-02 05:00:00-08:00	2024-01-02 06:00:00-08:00	0.313	0.05407388	0:00:00	1:00:00
2024-01-02 06:00:00-08:00	2024-01-02 07:00:00-08:00	0.317	0.05476492	0:00:00	1:00:00
2024-01-02 07:00:00-08:00	2024-01-02 08:00:00-08:00	2.792	0.48234592	0:00:00	1:00:00
2024-01-02 08:00:00-08:00	2024-01-02 09:00:00-08:00	4.793	0.82803868	0:00:00	1:00:00
2024-01-02 09:00:00-08:00	2024-01-02 10:00:00-08:00	4.704	0.81266304	0:00:00	1:00:00
2024-01-02 10:00:00-08:00	2024-01-02 11:00:00-08:00	5.899	1.01911124	0:00:00	1:00:00
2024-01-02 11:00:00-08:00	2024-01-02 12:00:00-08:00	4.649	0.80316124	0:00:00	1:00:00
2024-01-02 12:00:00-08:00	2024-01-02 13:00:00-08:00	3.665	0.6331654	0:00:00	1:00:00
2024-01-02 13:00:00-08:00	2024-01-02 14:00:00-08:00	3.151	0.54436676	0:00:00	1:00:00
2024-01-02 14:00:00-08:00	2024-01-02 15:00:00-08:00	6.326	1.09287976	0:00:00	1:00:00
2024-01-02 15:00:00-08:00	2024-01-02 16:00:00-08:00	4.264	0.73664864	0:00:00	1:00:00
2024-01-02 16:00:00-08:00	2024-01-02 17:00:00-08:00	3.943	0.68119268	0:00:00	1:00:00
2024-01-02 17:00:00-08:00	2024-01-02 18:00:00-08:00	2.133	0.36849708	0:00:00	1:00:00
2024-01-02 18:00:00-08:00	2024-01-02 19:00:00-08:00	3.21	0.5545596	0:00:00	1:00:00
2024-01-02 19:00:00-08:00	2024-01-02 20:00:00-08:00	2.64	0.4560864	0:00:00	1:00:00
2024-01-02 20:00:00-08:00	2024-01-02 21:00:00-08:00	4.393	0.75893468	0:00:00	1:00:00
2024-01-02 21:00:00-08:00	2024-01-02 22:00:00-08:00	3.164	0.54661264	0:00:00	1:00:00
2024-01-02 22:00:00-08:00	2024-01-02 23:00:00-08:00	4.736	0.81819136	0:00:00	1:00:00
2024-01-02 23:00:00-08:00	2024-01-03 00:00:00-08:00	0.683	0.11799508	0:00:00	1:00:00
2024-01-03 00:00:00-08:00	2024-01-03 01:00:00-08:00	0.288	0.04975488	0:00:00	1:00:00
2024-01-03 01:00:00-08:00	2024-01-03 02:00:00-08:00	0.312	0.05390112	0:00:00	1:00:00
2024-01-03 02:00:00-08:00	2024-01-03 03:00:00-08:00	0.325	0.056147	0:00:00	1:00:00
2024-01-03 03:00:00-08:00	2024-01-03 04:00:00-08:00	1.404	0.24255504	0:00:00	1:00:00
2024-01-03 04:00:00-08:00	2024-01-03 05:00:00-08:00	0.358	0.06184808	0:00:00	1:00:00
2024-01-03 05:00:00-08:00	2024-01-03 06:00:00-08:00	0.381	0.06582156	0:00:00	1:00:00
2024-01-03 06:00:00-08:00	2024-01-03 07:00:00-08:00	0.339	0.05856564	0:00:00	1:00:00
2024-01-03 07:00:00-08:00	2024-01-03 08:00:00-08:00	2.642	0.45643192	0:00:00	1:00:00
2024-01-03 08:00:00-08:00	2024-01-03 09:00:00-08:00	6.107	1.05504532	0:00:00	1:00:00
2024-01-03 09:00:00-08:00	2024-01-03 10:00:00-08:00	3.675	0.634893	0:00:00	1:00:00
2024-01-03 10:00:00-08:00	2024-01-03 11:00:00-08:00	3.583	0.61899908	0:00:00	1:00:00
2024-01-03 11:00:00-08:00	2024-01-03 12:00:00-08:00	2.086	0.36037736	0:00:00	1:00:00
2024-01-03 12:00:00-08:00	2024-01-03 13:00:00-08:00	1.802	0.31131352	0:00:00	1:00:00
2024-01-03 13:00:00-08:00	2024-01-03 14:00:00-08:00	1.709	0.29524684	0:00:00	1:00:00
2024-01-03 14:00:00-08:00	2024-01-03 15:00:00-08:00	1.665	0.2876454	0:00:00	1:00:00
2024-01-03 15:00:00-08:00	2024-01-03 16:00:00-08:00	1.523	0.26311348	0:00:00	1:00:00
2024-01-03 16:00:00-08:00	2024-01-03 17:00:00-08:00	2.792	0.48234592	0:00:00	1:00:00
2024-01-03 17:00:00-08:00	2024-01-03 18:00:00-08:00	2.861	0.49426636	0:00:00	1:00:00
2024-01-03 18:00:00-08:00	2024-01-03 19:00:00-08:00	1.163	0.20091988	0:00:00	1:00:00
2024-01-03 19:00:00-08:00	2024-01-03 20:00:00-08:00	3.65	0.630574	0:00:00	1:00:00
2024-01-03 20:00:00-08:00	2024-01-03 21:00:00-08:00	1.291	0.22303316	0:00:00	1:00:00
2024-01-03 21:00:00-08:00	2024-01-03 22:00:00-08:00	2.902	0.50134952	0:00:00	1:00:00
